batchNumber,controlType,timeHr,temperature,ph,dissolvedO2,substrate,penicillin
1,recipe,0,297.85,6.494,96.98,19.818,0.5323
1,recipe,2,297.97,6.502,97.03,20.041,0.4597
1,recipe,4,297.92,6.526,95.57,20.054,0.5681
1,recipe,6,298.10,6.486,94.87,20.025,0.6491
1,recipe,8,298.03,6.507,95.45,20.047,0.6198
1,recipe,10,298.09,6.441,93.92,20.170,0.7622
1,recipe,12,297.85,6.486,95.25,20.099,0.7059
1,recipe,14,298.03,6.555,92.71,20.159,0.7633
1,recipe,16,298.07,6.537,93.67,19.775,0.8725
1,recipe,18,298.09,6.554,92.01,19.871,1.0860
1,recipe,20,297.98,6.471,90.54,19.238,1.2108
1,recipe,22,298.10,6.482,90.11,18.932,1.2566
1,recipe,24,298.14,6.506,88.21,18.784,1.4059
1,recipe,26,297.98,6.551,87.75,18.347,1.5194
1,recipe,28,298.00,6.467,83.39,17.746,1.6549
1,recipe,30,297.88,6.482,83.28,17.378,1.7277
1,recipe,32,297.88,6.485,80.43,16.920,1.8995
1,recipe,34,298.13,6.452,81.04,16.519,2.1134
1,recipe,36,298.02,6.484,78.79,15.784,2.2424
1,recipe,38,297.94,6.504,75.00,15.298,2.4543
1,recipe,40,298.12,6.458,72.66,14.677,2.6932
1,recipe,42,297.94,6.539,71.16,14.245,2.8835
1,recipe,44,298.00,6.468,68.22,13.980,3.2117
1,recipe,46,297.93,6.531,66.75,13.776,3.3934
1,recipe,48,297.85,6.442,63.62,13.429,3.6556
1,recipe,50,298.09,6.478,63.23,13.381,4.0065
1,recipe,52,298.08,6.461,61.08,12.965,4.2908
1,recipe,54,297.93,6.500,58.83,12.736,4.6601
1,recipe,56,298.00,6.501,55.21,12.594,5.1454
1,recipe,58,298.00,6.507,53.47,12.444,5.4647
1,recipe,60,297.88,6.509,52.06,12.010,5.9263
1,recipe,62,298.13,6.487,49.57,12.065,6.4517
1,recipe,64,298.07,6.469,48.24,11.627,6.8356
1,recipe,66,298.13,6.523,47.54,11.508,7.3919
1,recipe,68,297.98,6.529,44.52,11.462,7.9894
